patient,model,n_roi_channels,n_events,n_face,n_house,accuracy,macro_f1,roc_auc,permutation_true_accuracy,permutation_p_value,n_permutations,elapsed_sec
aa,LDA,28,300,150,150,0.758288770053476,0.754988410022032,0.8395023842104947,0.758288770053476,0.004975124378109453,200,3.241011142730713
aa,Linear_SVM,28,300,150,150,0.7126559714795009,0.7104074740863436,0.7815488515577643,0.7126559714795009,0.004975124378109453,200,4.622974157333374
aa,RandomForest,28,300,150,150,0.7577540106951871,0.7568553592819139,0.8454623196462545,0.7577540106951871,0.004975124378109453,200,24.868919849395752
ap,LDA,28,300,150,150,0.8342162554426708,0.8329762305027311,0.9080610816199052,0.8342162554426708,0.004975124378109453,200,1.260800838470459
ap,Linear_SVM,28,300,150,150,0.7787853773584905,0.7780084078935412,0.8417407684907685,0.7787853773584905,0.004975124378109453,200,4.401862859725952
ap,RandomForest,28,300,150,150,0.8682265965166909,0.8676121548668856,0.9325895637586813,0.8682265965166909,0.004975124378109453,200,24.53402304649353
ca,LDA,23,300,150,150,0.937134238310709,0.9369778203566899,0.982370851215275,0.937134238310709,0.004975124378109453,200,1.1273391246795654
ca,Linear_SVM,23,300,150,150,0.8771122994652407,0.8770382475457101,0.9542439898380038,0.8771122994652407,0.004975124378109453,200,6.523335933685303
ca,RandomForest,23,300,150,150,0.9554847113670644,0.955436499794023,0.9913321202218259,0.9554847113670644,0.004975124378109453,200,23.889436721801758
de,LDA,20,300,150,150,0.8971479500891265,0.8965006525714905,0.9594236895094739,0.8971479500891265,0.004975124378109453,200,1.050271987915039
de,Linear_SVM,20,300,150,150,0.8650623885918003,0.8647245268473274,0.9337996723023462,0.8650623885918003,0.004975124378109453,200,6.588520288467407
de,RandomForest,20,300,150,150,0.9158645276292334,0.9157013125915121,0.9706351055114425,0.9158645276292334,0.004975124378109453,200,22.945540189743042
fp,LDA,7,300,150,150,0.6146167557932264,0.611557235298252,0.6571018788599003,0.6146167557932264,0.004975124378109453,200,0.7550091743469238
fp,Linear_SVM,7,300,150,150,0.6632798573975045,0.6604784529438472,0.6814662331874899,0.6632798573975045,0.004975124378109453,200,2.056704044342041
fp,RandomForest,7,300,150,150,0.6058823529411764,0.6030743765586103,0.6368532697743927,0.6058823529411764,0.004975124378109453,200,20.039917945861816
ha,LDA,19,300,150,150,0.9633842734092803,0.9632110180287127,0.9973138281474137,0.9633842734092803,0.004975124378109453,200,1.0984771251678467
ha,Linear_SVM,19,300,150,150,0.9399944429008057,0.9396210445977337,0.9828430026605492,0.9399944429008057,0.004975124378109453,200,4.821304082870483
